StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q,Q_4_TEXT,Q6_1,Q7_1,Q8,Q10,Q12,Q13_1,Q15,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Gender,Age,Profession - Selected Choice,Profession - other - Text,Average hours spent at work per week - hours,Avg hours of sleep per day - hours,Are you associated with any physical activity ?,"Is your job including manual labor, such as carrying stuff or transporting goods by walking?",What do you do in your spare time?,Screen time per a day - hours,Height,Weight,Hobbies,How many steps walk per a day?,Water intake per day - millilitres,Have you had any recent depressed thoughts?,Sleep disorders?,Do you smoke?,Do you drink?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_4_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}"
2022-01-18 19:13:03,2022-01-18 19:14:33,IP Address,76.19.99.21,100,90,True,2022-01-18 19:14:33,R_sEZN2wa0hbNK7At,,,,,42.3119964599609375,-71.10810089111328125,anonymous,EN,Male,22,Student,,42,8,Yes,yes,watch tv,10,6,150,TV,1000,1683,Yes,Yes,No,Yes
2022-01-18 22:27:09,2022-01-18 22:29:31,IP Address,209.6.136.222,100,142,True,2022-01-18 22:29:32,R_1lb4l5Ggc4x0lLL,,,,,42.3267974853515625,-71.13410186767578125,anonymous,EN,Male,24,Student,,10,7,No,No,Study,6,6 ft,95 kg,"reading, watching film",500,183,Maybe,No,No,No
2022-01-19 16:38:02,2022-01-19 18:54:09,IP Address,72.70.62.35,100,8166,True,2022-01-19 18:54:09,R_dht75CkpZ1HCX9T,,,,,42.2902984619140625,-71.079803466796875,anonymous,EN,,,,,,,,,,,,,,,,,,,
2022-01-20 15:49:22,2022-01-20 15:52:11,IP Address,76.24.217.198,100,169,True,2022-01-20 15:52:11,R_d3XuQIjaeWISzeN,,,,,42.2904052734375,-71.071197509765625,anonymous,EN,Male,25,Engineer,,40,6,No,no,sports,7,5'9'',65,"playing Table Tennis, Badminton",3000,1493,Maybe,Maybe,No,No
2022-01-25 09:18:43,2022-01-25 09:21:22,IP Address,71.233.47.64,100,159,True,2022-01-25 09:21:22,R_72FTMQ3H7v55YJj,,,,,42.4178009033203125,-71.1134033203125,anonymous,EN,Female,23,Student,,30,10,Yes,No,Like watching Movies,9,169cm,47.5kg,Watching / reading,3000,500,Maybe,Yes,Yes,No
2022-01-25 20:28:12,2022-01-25 20:31:15,IP Address,24.63.208.94,100,183,True,2022-01-25 20:31:15,R_1o4IUv1gA7qFA4X,,,,,42.3119964599609375,-71.10810089111328125,anonymous,EN,Male,29,Student,,,7,Yes,No,"Reading, hanging out with friends, cooking, jogging, Netflix",4,5ft8,130,"Reading, hiking, cooking",About 9000,2000,Yes,Yes,No,Yes
2022-01-25 20:40:39,2022-01-25 20:43:03,IP Address,155.33.132.67,100,144,True,2022-01-25 20:43:03,R_3foPvseDkk0nQm9,,,,,42.3426971435546875,-71.09220123291015625,anonymous,EN,Male,28,Student,,12,7,Yes,No,Social Media Time,15,173,72,Sports,10000,3000,No,Maybe,Yes,Yes
2022-01-26 09:03:54,2022-01-26 09:05:16,IP Address,73.234.241.185,100,81,True,2022-01-26 09:05:16,R_Rsg2vD8bVnnUI93,,,,,42.3119964599609375,-71.10810089111328125,anonymous,EN,Male,22,Student,,8,7,Yes,no,watch series``,7,176,81,cricket,2000,1507,Maybe,Maybe,Yes,Yes
